id,title,authors,year,journal,doi,source,auto_decision,auto_reason,screening_decision,screening_reason,reviewer_notes,screening_date,abstract
683,The human microbiome: a hot spot of microbial horizontal gene transfer,"Liu L, Chen X, Skogerbø G, Zhang P, Chen R, He S, Huang DW.",2012,,10.1016/j.ygeno.2012.07.012,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
684,A microarray analysis of gnotobiotic mice indicating that microbial exposure during the neonatal period plays an essential role in immune system development,"Yamamoto M, Yamaguchi R, Munakata K, Takashima K, Nishiyama M, Hioki K, Ohnishi Y, Nagasaki M, Imoto S, Miyano S, Ishige A, Watanabe K.",2012,,10.1186/1471-2164-13-335,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
685,The Choice between MapMan and Gene Ontology for Automated Gene Function Prediction in Plant Science,"Klie S, Nikoloski Z.",2012,,10.3389/fgene.2012.00115,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
686,Semantic text mining support for lignocellulose research,"Meurs MJ, Murphy C, Morgenstern I, Butler G, Powlowski J, Tsang A, Witte R.",2012,,10.1186/1472-6947-12-S1-S5,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
687,Probiotics can induce follicle maturational competence: the Danio rerio case,"Gioacchini G, Giorgini E, Merrifield DL, Hardiman G, Borini A, Vaccari L, Carnevali O.",2012,,10.1095/biolreprod.111.094243,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
688,Genomic transition to pathogenicity in chytrid fungi,"Joneson S, Stajich JE, Shiu SH, Rosenblum EB.",2011,,10.1371/journal.ppat.1002338,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
689,"Analysis of the human intestinal epithelial cell transcriptional response to Lactobacillus acidophilus, Lactobacillus salivarius, Bifidobacterium lactis and Escherichia coli","Putaala H, Barrangou R, Leyer GJ, Ouwehand AC, Hansen EB, Romero DA, Rautonen N.",2010,,10.3920/BM2010.0003,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
690,Enhancing the role of veterinary vaccines reducing zoonotic diseases of humans: linking systems biology with vaccine development,"Adams LG, Khare S, Lawhon SD, Rossetti CA, Lewin HA, Lipton MS, Turse JE, Wylie DC, Bai Y, Drake KL.",2011,,10.1016/j.vaccine.2011.05.080,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
691,Flexible querying of Web data to simulate bacterial growth in food,"Buche P, Couvert O, Dibie-Barthélemy J, Hignette G, Mettler E, Soler L.",2011,,10.1016/j.fm.2010.07.002,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
692,Connecting genotype to phenotype in the era of high-throughput sequencing,"Henry CS, Overbeek R, Xia F, Best AA, Glass E, Gilbert J, Larsen P, Edwards R, Disz T, Meyer F, Vonstein V, Dejongh M, Bartels D, Desai N, D'Souza M, Devoid S, Keegan KP, Olson R, Wilke A, Wilkening J, Stevens RL.",2011,,10.1016/j.bbagen.2011.03.010,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
