id,title,authors,year,journal,doi,source,auto_decision,auto_reason,screening_decision,screening_reason,reviewer_notes,screening_date,abstract
323,Absence of microbiome triggers extensive changes in the transcriptional profile of Hermetia illucens during larval ontology,"Auger L, Bouslama S, Deschamps MH, Vandenberg G, Derome N.",2023,,10.1038/s41598-023-29658-x,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
372,Comparing western (Megascops kennicottii) and whiskered (M. trichopsis) screech-owl microbiomes in southern Arizona using a novel 16S rRNA sequencing method,"Bartlow AW, Moser SK, Ellis JE, Hathcock CD, Fair JM.",2022,,10.1186/s42523-022-00196-7,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
390,Ontology-aware deep learning enables ultrafast and interpretable source tracking among sub-million microbial community samples from hundreds of niches,"Zha Y, Chong H, Qiu H, Kang K, Dun Y, Chen Z, Cui X, Ning K.",2022,,10.1186/s13073-022-01047-5,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
405,Ontology-aware neural network: a general framework for pattern mining from microbiome data,"Zha Y, Ning K.",2022,,10.1093/bib/bbac005,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
431,The potential interplay between the glandular microbiome and scent marking behavior in owl monkeys (Aotus nancymaae),"Bowen M, Miles C, Hegseth R, Anderson CM, Brandon CS, Langford ML, Wolovich CK.",2021,,10.1002/ajp.23324,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
475,Predicting the relationships between gut microbiota and mental disorders with knowledge graphs,"Liu T, Pan X, Wang X, Feenstra KA, Heringa J, Huang Z.",2020,,10.1007/s13755-020-00128-2,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
517,Movement ecology and sex are linked to barn owl microbial community composition,"Corl A, Charter M, Rozman G, Toledo S, Turjeman S, Kamath PL, Getz WM, Nathan R, Bowie RCK.",2020,,10.1111/mec.15398,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
525,OHMI: the ontology of host-microbiome interactions,"He Y, Wang H, Zheng J, Beiting DP, Masci AM, Yu H, Liu K, Wu J, Curtis JL, Smith B, Alekseyenko AV, Obeid JS.",2019,,10.1186/s13326-019-0217-1,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
540,Phenotype annotation with the ontology of microbial phenotypes (OMP),"Siegele DA, LaBonte SA, Wu PI, Chibucos MC, Nandendla S, Giglio MG, Hu JC.",2019,,10.1186/s13326-019-0205-5,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
546,"Draft Genome Sequence of Multidrug-Resistant Enterococcus faecium Strain E1298, with a Sequence Type 1274 Profile, Recovered from the Cloacal Microbiome of a Tropical Screech Owl (Megascops choliba) in Rio de Janeiro, Brazil","Freitas AAR, Souza SSR, Faria AR, Planet PJ, Merquior VLC, Teixeira LM.",2019,,10.1128/MRA.00168-19,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
570,MCO: towards an ontology and unified vocabulary for a framework-based annotation of microbial growth conditions,"Tierrafría VH, Mejía-Almonte C, Camacho-Zaragoza JM, Salgado H, Alquicira K, Ishida C, Gama-Castro S, Collado-Vides J.",2019,,10.1093/bioinformatics/bty689,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
632,An integrated strategy for functional analysis of microbial communities based on gene ontology and 16S rRNA gene,"Deng SP, Huang DS.",2015,,10.1504/ijdmb.2015.070841,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
650,TypOn: the microbial typing ontology,"Vaz C, Francisco AP, Silva M, Jolley KA, Bray JE, Pouseele H, Rothganger J, Ramirez M, Carriço JA.",2014,,10.1186/2041-1480-5-43,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
651,"Parts and wholes: the human microbiome, ecological ontology, and the challenges of community","Schneider GW, Winslow R.",2014,,10.1353/pbm.2014.0016,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
653,Methodology and Ontology in Microbiome Research,Huss J.,2014,,10.1007/s13752-014-0187-6,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
654,An ontology for microbial phenotypes,"Chibucos MC, Zweifel AE, Herrera JC, Meza W, Eslamfam S, Uetz P, Siegele DA, Hu JC, Giglio MG.",2014,,10.1186/s12866-014-0294-3,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
678,Towards a processual microbial ontology,"Bapteste E, Dupré J.",2013,,10.1007/s10539-012-9350-2,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
696,Unifying themes in microbial associations with animal and plant hosts described using the gene ontology,"Torto-Alalibo T, Collmer CW, Gwinn-Giglio M, Lindeberg M, Meng S, Chibucos MC, Tseng TT, Lomax J, Biehl B, Ireland A, Bird D, Dean RA, Glasner JD, Perna N, Setubal JC, Collmer A, Tyler BM.",2010,,10.1128/MMBR.00017-10,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
706,Viewing the microbial world through the lens of the Gene Ontology,Tyler BM.,2009,,10.1016/j.tim.2009.05.002,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
707,Applying the Gene Ontology in microbial annotation,"Giglio MG, Collmer CW, Lomax J, Ireland A.",2009,,10.1016/j.tim.2009.04.003,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
